"id","company_id/id","date","footer_disabled","delimiter_symbol","line_number_max","name","user_id/id","header_config_line_ids/default_value","header_config_line_ids/detail_configure_id/id","header_config_line_ids/footer_configure_id/id","header_config_line_ids/length","header_config_line_ids/mandatory","header_config_line_ids/model_id/id","header_config_line_ids/field_code","header_config_line_ids/notes","header_config_line_ids/sequence","detail_config_line_ids/default_value","detail_config_line_ids/footer_configure_id/id","detail_config_line_ids/header_configure_id/id","detail_config_line_ids/length","detail_config_line_ids/mandatory","detail_config_line_ids/model_id/id","detail_config_line_ids/field_code","detail_config_line_ids/notes","detail_config_line_ids/sequence","footer_config_line_ids/default_value","footer_config_line_ids/detail_configure_id/id","footer_config_line_ids/header_configure_id/id","footer_config_line_ids/length","footer_config_line_ids/mandatory","footer_config_line_ids/model_id/id","footer_config_line_ids/field_code","footer_config_line_ids/notes","footer_config_line_ids/sequence"
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Present","15","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","Invoice Details Present","16","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","VAT Present","17","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","Receipt Present","18","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Y","","","1","True","pabi_account_debt_transfer.model_payment_export_line","","Credit Advice Required","19","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","4","False","pabi_account_debt_transfer.model_payment_export_line","","Cheque drawn on location ","20","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","4","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch Branch Code","21","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Form Type","22","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","14","False","pabi_account_debt_transfer.model_payment_export_line","","WHT serial no.","23","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","14","False","pabi_account_debt_transfer.model_payment_export_line","","WHT book no.","24","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","10","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Running No.","25","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","3","False","pabi_account_debt_transfer.model_payment_export_line","","BahtNet Payment type   code","26","","","","","","","","",""
"","","","","","","","","","","","","","","","","","04","","","2","True","pabi_account_debt_transfer.model_payment_export_line","","BOT service type of payment","27","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","2","False","pabi_account_debt_transfer.model_payment_export_line","","No. of WHT Details","28","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16","False","pabi_account_debt_transfer.model_payment_export_line","","Total WHT Amount","29","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","6","False","pabi_account_debt_transfer.model_payment_export_line","","No. Of Invoice Details","30","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16","False","pabi_account_debt_transfer.model_payment_export_line","","Total Invoice Amount","31","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16","False","pabi_account_debt_transfer.model_payment_export_line","","Total Discount Amount","32","","","","","","","","",""
"","","","","","","","","","","","","","","","","","OUR","","","3","True","pabi_account_debt_transfer.model_payment_export_line","","Payee charge code","33","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16","True","pabi_account_debt_transfer.model_payment_export_line","value = int(object.amount_total * 100)","Payment Net amount (Credit amount)","34","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Pay Type","35","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","40","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Remark","36","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","8","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Deduct Date","37","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","3","True","pabi_account_debt_transfer.model_payment_export_line","value = object.voucher_id.supplier_bank_id.bank.code","Receiving Bank Code","38","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","4","True","pabi_account_debt_transfer.model_payment_export_line","value = object.voucher_id.supplier_bank_id.bank_branch.code","Receiving Branch Code","39","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","1","False","pabi_account_debt_transfer.model_payment_export_line","","WHT Signatory","40","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","30","False","pabi_account_debt_transfer.model_payment_export_line","","Service Code","41","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","30","False","pabi_account_debt_transfer.model_payment_export_line","","Beneficiary Code","42","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15","False","pabi_account_debt_transfer.model_payment_export_line","","Payee1 ID Card ","43","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","100","True","pabi_account_debt_transfer.model_payment_export_line","value = object.partner_id.name","Payee Name","44","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Address 1","45","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Address 2","46","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Address 3","47","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Address 4","48","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch Address 1","49","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch Address 2","50","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch Address 3","51","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","","Dispatch Address 4","52","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Tax ID","53","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","20","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Fax Number","54","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","20","False","pabi_account_debt_transfer.model_payment_export_line","","Payee Mobile Phone Number","55","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","70","False","pabi_account_debt_transfer.model_payment_export_line","value = object.partner_id.email and object.partner_id.email or ''","Payee E-mail Address","56","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","True","pabi_attachment_helper.model_payment_export","value = object.num_line","Total No. of Credits","2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","True","pabi_attachment_helper.model_payment_export","value = int(object.sum_total * 100)","Total Amount","3"
